Algoritmo,TamanhoDaEntrada,ValorMaximo,TempoDeOrdenacao,IntervaloInferior,IntervaloSuperior,ErroPadrao
quick,9400000,940000,9739.7,9501.28440309633,9978.115596903672,121.64284588097647
merge,9400000,940000,13293.433333333332,13234.074793766433,13352.791872900232,30.28552567042711
counting,9400000,940000,1857.1333333333334,1687.102041769603,2027.164624897064,86.75225305409472
quick,9400000,94000000,9904.433333333332,9828.07566997158,9980.790996695085,38.958707386488754
merge,9400000,94000000,13494.1,13449.482936274651,13538.71706372535,22.764226321138175
counting,9400000,94000000,4316.533333333334,4069.4670651412707,4563.599601525397,126.05653478374623
