Algoritmo,TamanhoDaEntrada,ValorMaximo,TempoDeOrdenacao,IntervaloInferior,IntervaloSuperior,ErroPadrao
quick,9400000,940000,9661.666666666666,9570.152694739583,9753.180638593749,46.69165997382307
merge,9400000,940000,13132.333333333334,12982.911161301763,13281.755505364905,76.23720293341769
counting,9400000,940000,2105.0,1922.498689150758,2287.501310849242,93.11462470167258
quick,94000000,940000,158384.66666666666,153016.41913385893,163752.91419947438,2738.952131341068
merge,94000000,940000,135320.0,134853.4297604314,135786.5702395686,238.05041482845604
counting,94000000,940000,18850.666666666668,16257.844360920151,21443.488972413186,1322.8928318062824
