Algoritmo,TamanhoDaEntrada,ValorMaximo,TempoDeOrdenacao,IntervaloInferior,IntervaloSuperior,ErroPadrao
quick,9400000,940000,1155.7333333333333,1119.633609911863,1191.8330567548037,18.418564680892334
merge,9400000,940000,1449.5333333333333,1422.934679446778,1476.1319872198885,13.570991149001738
counting,9400000,940000,473.6,456.22295699061306,490.977043009387,8.866001184947713
quick,9400000,94000000,1104.6666666666667,1087.7037230622589,1121.6296102710746,8.654722096022898
merge,9400000,94000000,1425.5,1406.158260270551,1444.841739729449,9.868415890299113
counting,9400000,94000000,1504.1333333333334,1488.281176743934,1519.9854899227328,8.087983613188337
